15,39937.6
18,46085.887
19,46085.887
0024,33793.36
0025,24576.988
0027,30728.967
28,36865.48
0029,33790.227
0030,27649.111
34,46085.887
35,24576.988
39,33793.36
50,27649.111
0051,27650.418
0054,46085.887
0062,30717.512
0065,30721.15
0073,27649.31
91,18432.74
139,43009.727
218,46085.887
326,33793.36
647,18432.74
872,24578.29
0988,24576.363
1015,30722.203
1041,33790.957
1043,24575.813
1045,24578.176
1052,24576.988
1121,24576.988
1124,30721.232
1165,24576.988
1175,24576.988
1178,46085.887
1185,46085.887
1195,46085.887
1203,24576.988
1206,24576.988
1210,46085.887
1232,46085.887
1248,46085.887
1263,24576.988
1271,36865.48
1288,36865.48
1294,46085.887
1301,46085.887
1310,242750.92
1315,24576.988
1317,46085.887
1330,39937.6
1343,36865.48
1370,24576.988
1371,46085.887
1422,39937.6
1428,24576.988
1438,64513.066
1442,55300.49
1462,199563.73
1465,24576.988
1509,61435.01
1510,61435.01
1517,61435.01
1550,61435.01
1554,101385.65
1575,36865.48
